filename,width,height,channels,mean_luminosity,median_luminosity,std_luminosity,min_luminosity,max_luminosity,median_saturation,mean_saturation,std_saturation,min_saturation,max_saturation,predominant_color,predominant_color_percentage,color_category,color_temperature,name,likes,comments,date,engagement_total
Bershka_10200_38_07122024(1).png,1090,1370,3,132.28867608651979,152.0,67.28103259083797,0,255,5.0,18.29118328534119,33.85030223756438,0,255,"(np.int64(169), np.int64(169), np.int64(168))",27.69302886225139,Gray,warm,Bershka,10200.0,38.0,2024-12-07,10238.0
Bershka_10200_45_22102024(1).png,1088,1368,3,130.96877485917614,137.0,59.577505022685095,0,255,8.0,18.54352841739766,33.09289322811718,0,255,"(np.int64(193), np.int64(193), np.int64(190))",33.55585655314757,Gray,warm,Bershka,10200.0,45.0,2024-10-22,10245.0
Bershka_10200_61_09082024.png,1092,1406,3,199.66240314924525,213.0,38.713105301769666,0,250,10.0,15.129654958602327,18.318498053580953,0,255,"(np.int64(214), np.int64(214), np.int64(206))",86.78166309745257,White,warm,Bershka,10200.0,61.0,2024-08-09,10261.0
Bershka_107000_551_17032024(1).png,1090,1408,3,148.02064545975813,169.0,61.44721981810113,0,254,59.0,69.69450844453712,49.67207279556799,0,255,"(np.int64(221), np.int64(199), np.int64(195))",38.20931505421184,White,warm,Bershka,107000.0,551.0,2024-03-17,107551.0
Bershka_11100_41_16092024(1).png,1090,1370,3,101.46075537400388,105.0,26.1736823821077,0,172,13.0,38.21590236389205,59.24265551398644,0,255,"(np.int64(85), np.int64(84), np.int64(85))",27.812428848858232,Gray,warm,Bershka,11100.0,41.0,2024-09-16,11141.0
Bershka_11400_46_08112024(1).png,1090,1408,3,128.19939011676396,123.0,81.50360855993746,4,255,42.0,68.43974079962469,65.80538814864498,0,241,"(np.int64(226), np.int64(231), np.int64(230))",28.467212260216847,White,warm,Bershka,11400.0,46.0,2024-11-08,11446.0
Bershka_12500_72_23082024(1).png,1092,1408,3,199.82075476606727,212.0,37.35650132845472,0,248,1.0,19.894276296620045,47.876472152038325,0,255,"(np.int64(216), np.int64(216), np.int64(216))",58.974228896103895,White,warm,Bershka,12500.0,72.0,2024-08-23,12572.0
Bershka_12600_46_08102024(1).png,1086,1366,3,63.05609595301845,56.0,41.197697807007344,0,253,22.0,41.359419363710636,49.8668215969562,0,255,"(np.int64(33), np.int64(34), np.int64(32))",37.25028244474464,Black,warm,Bershka,12600.0,46.0,2024-10-08,12646.0
Bershka_12600_71_02102024(1).png,1090,1368,3,99.1699420569773,103.0,50.24573715137589,0,254,24.0,36.73131270454424,38.088772743926015,0,255,"(np.int64(110), np.int64(112), np.int64(102))",33.22234293685283,Gray,warm,Bershka,12600.0,71.0,2024-10-02,12671.0
Bershka_12700_57_16012024.png,1088,1370,3,106.25400520609703,96.0,57.824957366430944,2,255,33.0,39.14490527050236,30.923598092783685,0,255,"(np.int64(48), np.int64(48), np.int64(51))",36.45039448261056,Gray,warm,Bershka,12700.0,57.0,2024-01-16,12757.0
Bershka_14200_60_14102024(1).png,1166,1450,3,176.8896350624002,227.0,88.97322793885323,0,255,5.0,35.88064706926125,47.089743836107765,0,255,"(np.int64(246), np.int64(247), np.int64(249))",45.75418465724256,White,warm,Bershka,14200.0,60.0,2024-10-14,14260.0
Bershka_14400_36_26082024(1).png,1090,1408,3,133.4613525594245,128.0,63.336861901641164,0,254,34.0,45.72201509070059,36.91921006665034,0,255,"(np.int64(212), np.int64(215), np.int64(212))",28.45124843619683,White,warm,Bershka,14400.0,36.0,2024-08-26,14436.0
Bershka_14600_42_19052024(1).png,1086,1366,3,130.66299488498635,134.0,55.80438196270895,0,255,13.0,22.621990514170772,29.446748209975144,0,255,"(np.int64(174), np.int64(171), np.int64(164))",27.680056839477015,Gray,warm,Bershka,14600.0,42.0,2024-05-19,14642.0
Bershka_15000_114_01032024.png,1090,1406,3,196.43770929306902,230.0,67.2635389972215,0,255,29.0,49.53115416237097,47.00035693316581,0,255,"(np.int64(238), np.int64(232), np.int64(212))",71.98937711250603,White,warm,Bershka,15000.0,114.0,2024-03-01,15114.0
Bershka_15200_58_14112024(1).png,1088,1406,3,140.135044269308,150.0,45.53155310943859,0,255,31.0,35.1786343716007,27.82711498882212,0,255,"(np.int64(154), np.int64(162), np.int64(174))",36.97761955066522,Gray,warm,Bershka,15200.0,58.0,2024-11-14,15258.0
